study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
step,K=70 put,70,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.475040
step,K=70 put,70,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.135836
step,K=70 put,70,72,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.596430
step,K=70 put,70,72,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.208082
step,K=70 put,70,96,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.707499
step,K=70 put,70,96,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.189574
step,K=80 put,80,24,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.357682
step,K=80 put,80,24,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,104.234264
step,K=80 put,80,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.470729
step,K=80 put,80,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.916618
step,K=80 put,80,72,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.604336
step,K=80 put,80,72,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.674293
step,K=80 put,80,96,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.723238
step,K=80 put,80,96,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.709347
step,OTM put,90,24,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.354647
step,OTM put,90,24,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,104.388347
step,OTM put,90,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.480665
step,OTM put,90,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.990989
step,OTM put,90,72,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.596012
step,OTM put,90,72,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.242414
step,OTM put,90,96,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.726972
step,OTM put,90,96,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.829450
step,ATM,100,24,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.358223
step,ATM,100,24,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,103.619761
step,ATM,100,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.476769
step,ATM,100,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.721173
step,ATM,100,72,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.600743
step,ATM,100,72,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.003499
step,ATM,100,96,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.723281
step,ATM,100,96,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,106.601320
step,ITM put,110,24,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.362356
step,ITM put,110,24,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,104.063064
step,ITM put,110,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.479216
step,ITM put,110,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,105.339538
step,ITM put,110,72,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.599355
step,ITM put,110,72,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,107.098956
step,ITM put,110,96,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,0.723346
step,ITM put,110,96,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\bgk_r02_t1_delta05_nex12_step_sweep_all_ref1200_direct_samepaths60k_s24487296_table.csv,108.362722
path,K=70 put,70,48,250,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.169380
path,K=70 put,70,48,250,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.000234
path,K=70 put,70,48,500,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.157843
path,K=70 put,70,48,500,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,1.815882
path,K=70 put,70,48,1000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.162619
path,K=70 put,70,48,1000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,3.547602
path,K=70 put,70,48,2000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.169549
path,K=70 put,70,48,2000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,5.215572
path,K=70 put,70,48,5000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.182207
path,K=70 put,70,48,5000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,10.505390
path,K=70 put,70,48,10000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.208659
path,K=70 put,70,48,10000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,19.273681
path,K=70 put,70,48,20000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.000000
path,K=70 put,70,48,20000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.000000
path,K=70 put,70,48,40000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.355937
path,K=70 put,70,48,40000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,71.492492
path,K=70 put,70,48,60000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.000000
path,K=70 put,70,48,60000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps48_direct_ref1200_paths1200000_table.csv,0.000000
path,K=70 put,70,60,250,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.165110
path,K=70 put,70,60,250,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.975382
path,K=70 put,70,60,500,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.160963
path,K=70 put,70,60,500,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,1.811438
path,K=70 put,70,60,1000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.166688
path,K=70 put,70,60,1000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,3.570405
path,K=70 put,70,60,2000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.170754
path,K=70 put,70,60,2000,hybrid,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,5.241071
path,K=70 put,70,60,5000,benchmark,D:\Mara PhD\Paper-C\Working Files\Manuscript Code\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k70_steps60_direct_ref1200_paths1200000_table.csv,0.191479
