study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
path_48,K=80 put,80,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,5.635778
path_48,K=80 put,80,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.201208
path_48,K=80 put,80,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,11.374793
path_48,K=80 put,80,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.243187
path_48,K=80 put,80,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,20.697990
path_48,K=80 put,80,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.269574
path_48,K=80 put,80,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,38.703823
path_48,K=80 put,80,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.399476
path_48,K=80 put,80,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,75.163213
path_48,K=80 put,80,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.535632
path_48,K=80 put,80,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,111.823054
path_48,OTM put,90,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.179419
path_48,OTM put,90,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,1.042487
path_48,OTM put,90,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.170147
path_48,OTM put,90,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,1.919598
path_48,OTM put,90,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.172747
path_48,OTM put,90,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,3.808744
path_48,OTM put,90,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.179532
path_48,OTM put,90,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,5.763402
path_48,OTM put,90,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.207795
path_48,OTM put,90,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,11.628506
path_48,OTM put,90,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.236964
path_48,OTM put,90,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,21.441186
path_48,OTM put,90,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.272166
path_48,OTM put,90,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,39.230684
path_48,OTM put,90,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.404471
path_48,OTM put,90,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,78.314510
path_48,OTM put,90,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,0.586193
path_48,OTM put,90,48,60000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k90_steps48_direct_ref1200_paths1200000_table.csv,120.625285
path_48,ATM,100,48,250,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.190155
path_48,ATM,100,48,250,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,1.061072
path_48,ATM,100,48,500,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.184060
path_48,ATM,100,48,500,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,1.954622
path_48,ATM,100,48,1000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.221760
path_48,ATM,100,48,1000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,4.155055
path_48,ATM,100,48,2000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.193530
path_48,ATM,100,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,6.186950
path_48,ATM,100,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.229827
path_48,ATM,100,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,12.034422
path_48,ATM,100,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.246428
path_48,ATM,100,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,22.484774
path_48,ATM,100,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.283399
path_48,ATM,100,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,40.047729
path_48,ATM,100,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,0.410268
path_48,ATM,100,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_robustness_reruns\bgk_r02_t1_delta05_nex12_from_scratch\results\reference_values\path_sweep\bgk_r02_t1_delta05_nex12_path_sweep_k100_steps48_direct_ref1200_paths1200000_table.csv,77.289032
