scenario,K,r,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=80 put,80.0,0.02,0.5,0.5,12,96,60000,benchmark,2026,2103,1000,0.804165200001,4.961292,5.535347657929,0.054863358602,0.215064365721,0.115706888030,0.094032658241,0.137381117820,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
K=80 put,80.0,0.02,0.5,0.5,12,96,60000,hybrid,2026,2103,1000,114.4334562,4.961292,5.484023179250,0.013836953155,0.054240856368,0.105361905578,0.099895501225,0.110828309931,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,24,60000,benchmark,2026,2103,1000,1.172774,7.081850,8.716683519632,0.069690483722,0.273186696192,0.230848368665,0.211560562782,0.250136174549,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,24,60000,hybrid,2026,2103,1000,120.0191761,7.081850,8.619764572702,0.018374518166,0.072028111211,0.217162827891,0.212077425686,0.222248230096,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.559044099999,7.081850,8.328672321631,0.068134673353,0.267087919546,0.176058843612,0.157201629780,0.194916057443,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,116.8974251,7.081850,8.213614548811,0.018556581034,0.072741797655,0.159811991049,0.154676200426,0.164947781673,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,72,60000,benchmark,2026,2103,1000,0.6764303,7.081850,8.102106453821,0.067035894385,0.262780705990,0.144066374439,0.125513262894,0.162619485984,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,72,60000,hybrid,2026,2103,1000,111.9998366,7.081850,7.986907187183,0.018613721423,0.072965787979,0.127799542095,0.122647937078,0.132951147112,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
OTM put,90.0,0.02,0.5,0.5,12,96,60000,benchmark,2026,2103,1000,0.776734499999,7.081850,7.868477304451,0.065831824395,0.258060751629,0.111076527242,0.092856658731,0.129296395753,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
OTM put,90.0,0.02,0.5,0.5,12,96,60000,hybrid,2026,2103,1000,112.4646304,7.081850,7.792486244527,0.018583716092,0.072848167082,0.100346130535,0.095202829908,0.105489431161,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,24,60000,benchmark,2026,2103,1000,0.4205931,9.921166,12.007993188946,0.080957654105,0.317354004091,0.210340920507,0.194347134893,0.226334706121,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,24,60000,hybrid,2026,2103,1000,111.5451773,9.921166,11.852890722292,0.023785543804,0.093239331710,0.194707428773,0.190008418006,0.199406439540,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.541452000001,9.921166,11.508319335625,0.080013401050,0.313652532116,0.159976492241,0.144169250829,0.175783733654,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,112.0422667,9.921166,11.371116103476,0.024124675669,0.094568728623,0.146147146764,0.141381137980,0.150913155549,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,72,60000,benchmark,2026,2103,1000,0.6622279,9.921166,11.187071292107,0.078113129072,0.306203465963,0.127596422851,0.112164594275,0.143028251426,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,72,60000,hybrid,2026,2103,1000,111.4665805,9.921166,11.089687140398,0.024215181556,0.094923511700,0.117780625825,0.112996736931,0.122564514720,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ATM,100.0,0.02,0.5,0.5,12,96,60000,benchmark,2026,2103,1000,0.7855717,9.921166,10.956685870870,0.076213676950,0.298757613646,0.104374815508,0.089318237801,0.119431393215,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ATM,100.0,0.02,0.5,0.5,12,96,60000,hybrid,2026,2103,1000,111.9009144,9.921166,10.861039327651,0.024230252898,0.094982591362,0.094734160042,0.089947293692,0.099521026393,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,24,60000,benchmark,2026,2103,1000,0.417047300001,13.857557,16.237841596282,0.089501657620,0.350846497871,0.171767981635,0.159108950253,0.184427013017,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,24,60000,hybrid,2026,2103,1000,109.7660128,13.857557,16.221849483123,0.029789252179,0.116773868540,0.170613946103,0.166400581925,0.174827310282,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,48,60000,benchmark,2026,2103,1000,0.5431699,13.857557,15.613308940904,0.087807802116,0.344206584295,0.126699961682,0.114280507651,0.139119415713,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,48,60000,hybrid,2026,2103,1000,111.5615582,13.857557,15.686226862027,0.030398824375,0.119163391550,0.131961922439,0.127662340934,0.136261503943,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,72,60000,benchmark,2026,2103,1000,0.667662399999,13.857557,15.355101313748,0.087223292839,0.341915307928,0.108066978454,0.095730196873,0.120403760036,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,72,60000,hybrid,2026,2103,1000,111.2530034,13.857557,15.361217602538,0.030524777951,0.119657129569,0.108508346929,0.104190950667,0.112825743190,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
ITM put,110.0,0.02,0.5,0.5,12,96,60000,benchmark,2026,2103,1000,0.776017200002,13.857557,15.083897383824,0.085524590876,0.335256396234,0.088496145736,0.076399626984,0.100592664489,39434d62f1278fc907cedee0b8776cc816b2c81f40e6c1efd8c2883dd85885fe
ITM put,110.0,0.02,0.5,0.5,12,96,60000,hybrid,2026,2103,1000,111.6767462,13.857557,15.114275027996,0.030576890839,0.119861412087,0.090688281347,0.086363514287,0.095013048407,fe96b8c2d7b873d1cbfe97d8e8e64156078dd0ebb22581a4bb5fd77cf0ca7970
