scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,benchmark,2026,2103,1000,0.404347099997,4.298933,4.396471901997,0.073451539866,0.287930036275,0.022689095642,0.000000000000,0.056177642251,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
K=80 put,80.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,hybrid,2026,2103,1000,40.2321775,4.298933,4.338897411787,0.017897475616,0.070158104416,0.009296356046,0.001136412124,0.017456299969,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,benchmark,2026,2103,1000,0.263837499995,6.942119,7.341082173632,0.095832772982,0.375664470090,0.057469941618,0.030413039389,0.084526843847,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,hybrid,2026,2103,1000,39.7480331,6.942119,7.171955002428,0.025109030214,0.098427398437,0.033107470850,0.026018324262,0.040196617437,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,benchmark,2026,2103,1000,0.319201499995,6.942119,7.129239465340,0.093340452277,0.365894572928,0.026954373058,0.000601139058,0.053307607058,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,20000,hybrid,2026,2103,1000,43.501524,6.942119,6.957089302737,0.025695438858,0.100726120325,0.002156445710,0.000000000000,0.009411155715,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,benchmark,2026,2103,1000,0.337460400006,6.942119,7.068071503806,0.093989180089,0.368437585951,0.018143236065,0.000000000000,0.044679628336,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,20000,hybrid,2026,2103,1000,41.4896466,6.942119,6.905101848403,0.025761561540,0.100985321236,0.005332255410,0.000000000000,0.012605634132,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,benchmark,2026,2103,1000,0.387721800005,6.942119,7.080476182463,0.093090561653,0.364915001681,0.019930108150,0.000000000000,0.046212789395,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,20000,hybrid,2026,2103,1000,38.7627981,6.942119,6.956033337382,0.025821328960,0.101219609521,0.002004335763,0.000000000000,0.009294588892,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,20000,benchmark,2026,2103,1000,0.248009499999,10.682037,11.138218538815,0.112218825037,0.439897794143,0.042705481999,0.022114943221,0.063296020776,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
