scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.2811325,6.343052,6.370570605406,0.058941270026,0.231049778502,0.004338385592,0.000000000000,0.022551209521,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,38.2430792,6.343052,6.390036034022,0.003088939044,0.012108641052,0.007407165198,0.006452684527,0.008361645868,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.317618699999,6.343052,6.380288507443,0.059502063151,0.233248087551,0.005870440199,0.000000000000,0.024256548932,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,37.6793629,6.343052,6.374479697877,0.003097400703,0.012141810756,0.004954665022,0.003997569703,0.005911760341,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.335518799999,6.343052,6.384442225501,0.059823930359,0.234509807007,0.006525285541,0.000000000000,0.025010851086,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ATM,100.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,37.9899952,6.343052,6.375041053616,0.003120527178,0.012232466537,0.005043164334,0.004078922945,0.006007405723,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,benchmark,2026,2103,1000,0.244855299999,12.571373,12.714510843649,0.074333993366,0.291389253996,0.011386015167,0.000000000000,0.022975411727,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,24,20000,hybrid,2026,2103,1000,39.0222163,12.571373,12.668783720392,0.000565200680,0.002215586667,0.007748614284,0.007660493970,0.007836734597,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,benchmark,2026,2103,1000,0.3348463,12.571373,12.686786545749,0.073461104698,0.287967530414,0.009180663540,0.000000000000,0.020633968219,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,48,20000,hybrid,2026,2103,1000,40.467011,12.571373,12.640804042480,0.000606033444,0.002375651100,0.005522948248,0.005428461707,0.005617434789,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,benchmark,2026,2103,1000,0.344450499993,12.571373,12.603870840705,0.074045807979,0.290259567278,0.002585066938,0.000000000000,0.014129532577,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,72,20000,hybrid,2026,2103,1000,38.3663992,12.571373,12.626499030696,0.000602973902,0.002363657696,0.004385044553,0.004291035024,0.004479054081,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,benchmark,2026,2103,1000,0.358779599999,12.571373,12.580012335067,0.075080444693,0.294315343197,0.000687222873,0.000000000000,0.012392998495,721062177abdfee17262feac3ad2bd14a7731be7a819c070592cd68432d9c036
ITM put,110.0,100,1,0.03,0.04,0.04,2,1,0.04,0.35,0.2,0.2,0.1,0.1,0.5,0.5,12,96,20000,hybrid,2026,2103,1000,37.4674679,12.571373,12.625625401201,0.000628518035,0.002463790697,0.004315550990,0.004217558882,0.004413543099,ea01f2e4c70c994aa3a231106ca6f5b0b20ecac89b6bd3bfafb3998fb3b6bbf7
