study,scenario,K,euler_steps,paths,method,output_path,runtime_seconds
path_48,K=80 put,80,48,2000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,5.479983
path_48,K=80 put,80,48,5000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.195775
path_48,K=80 put,80,48,5000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,10.748742
path_48,K=80 put,80,48,10000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.221867
path_48,K=80 put,80,48,10000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,19.611842
path_48,K=80 put,80,48,20000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.275050
path_48,K=80 put,80,48,20000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,37.399895
path_48,K=80 put,80,48,40000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.412716
path_48,K=80 put,80,48,40000,hybrid,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,73.214643
path_48,K=80 put,80,48,60000,benchmark,D:\Mara PhD\Paper-C\To be deleted\full_numerical_studies\bgk_r02_calibrated_t1_nex12\results\reference_values\path_sweep\bgk_r02_calibrated_t1_nex12_path_sweep_k80_steps48_direct_ref1200_paths1200000_table.csv,0.541459
