scenario,K,S0,T,r,v0,vp0,kappa1,kappa2,theta,xi1,xi2,rho12,rho13,rho23,delta1,delta2,exercise_dates,euler_steps,paths,method,seed,low_seed,low_paths,runtime_seconds,reference_direct_price,price_direct,se_direct,ci_width_direct,rel_error_direct,rel_ci_lower_direct,rel_ci_upper_direct,engine_sha256
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,benchmark,2026,2103,1000,0.718624099994,6.942119,7.032831675743,0.053873178178,0.211182858458,0.013067000975,0.000000000000,0.028277260152,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,hybrid,2026,2103,1000,112.5225849,6.942119,6.940183851678,0.014808111963,0.058047798896,0.000278754703,0.000000000000,0.004459596237,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,benchmark,2026,2103,1000,0.838206399996,6.942119,6.949166048009,0.052982111254,0.207689876117,0.001015114839,0.000000000000,0.015973795043,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
OTM put,90.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,96,60000,hybrid,2026,2103,1000,112.91939,6.942119,6.917703357048,0.014780745803,0.057940523547,0.003517030312,0.000000000000,0.007690145433,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,benchmark,2026,2103,1000,0.458977999995,10.682037,10.996010379667,0.064864494612,0.254268818880,0.029392650453,0.017490949547,0.041294351359,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,24,60000,hybrid,2026,2103,1000,110.0849266,10.682037,10.952781719357,0.019829780958,0.077732741356,0.025345794941,0.021707315625,0.028984274257,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,benchmark,2026,2103,1000,0.561543799995,10.682037,10.800116506943,0.064903218238,0.254420615494,0.011054025271,0.000000000000,0.022962831405,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,48,60000,hybrid,2026,2103,1000,109.4266258,10.682037,10.715101216044,0.020088796419,0.078748081963,0.003095310009,0.000000000000,0.006781314933,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,benchmark,2026,2103,1000,0.6695062,10.682037,10.793694916236,0.064131768722,0.251396533388,0.010452867392,0.000000000000,0.022220123646,27cf36f62400b0287829c91b7ef3c581dd5a92de2590e054a8ae422e4bd373b3
ATM,100.0,100,1,0.02,0.114,0.11,5.5,0.1,0.078,2.689,0.502,-0.982,-0.727,0.59,0.94,0.94,12,72,60000,hybrid,2026,2103,1000,108.0950998,10.682037,10.662147515743,0.020212453083,0.079232816084,0.001861956128,0.000000000000,0.005570650270,ff22092483ab23a947d41ac621359b0ae5f6bf3ef30278f0646625fdc7c372a8
